 NI CAN NI-CAN LIN NI-XNET XNET FLEXRAY NI 845X NI-845X I2C SPI NI 9852 NI 9853 NI 9881 NI 8531 NI 8472 NI 8473 PCI-CAN PXI 8460 PXI 8461 PXI 8464 PXI 8476 NI 9860 NI 9861 NI 9862 NI 9866 PCI-8511 PCI-8512 PCI-8513 PCI-8516 PCI-8517 PXIe-8510 PXI-8511 PXI-8512 PXI-8513 PXI-8516 PXI-8517 USB 8502 USB-8451 USB-8452 IVN-8561 I2C/SPI ISO 11898 J1939 ECU CAN_L CAN_H FAULT TOLERANT PROTOCOL BUS ARBITRATION ID CAN FRAME RTR REMOTE TRANSFER REQUEST CRC Cyclic Redundancy Check  Acknowledgment Bit  ACK PCMCIA-CAN PCI-CAN TRANSCIEVER CABLE PXI-CAN HS LS Controller Area Network  Local Interconnect Network XNET BUS MONITOR CAN DEVICE SIMULATOR TRC-8542 TRC-8543 TRC-8546 SINGLE TERMINATION BREAKOUT BOX OBD-II ECU Measurement and Calibration Toolkit Automotive Diagnostic Command Set Transport Protocol Volkswagen TP 2.0 Diagnostics over IP KWP2000 DB9 PDU Stream Payload Database editor REMOTE FRAME FIBEX FAULT-TOLERANT Single Wire,CAN
 PXI-5600 PXIe-5601 PXIe-5603 PXI-5610 PXIe-5611 PXI-5620 PXI-5621 PXI-1470 PXI-5660 PXI-5661 PXIe-5668R PXI-5670 PXI-5671 PXI-5672 PXIe-5663 PXIe-5665 PXIe-5673 PXIe-5630 PXI-5650 PXIe-5632 PXI-5651 PXI-5652 PXIe-5653 PXIe-5654 USB-5680 USB-5681 PXI-5690 PXI-5691 PXI-5695 USB-5683 USB-5684 PXIe-5644R PXIe-5645R PXIe-5646R PXIe-5840R PXIe-5820R PCI-5640R  PXIe-5641R  PXIe-5624R NI 9770 QUICKSYN Micropross MP500 TCL3 Micropross MP500 PT1-NFC RF NIGPS,RF
 SPECTRAL MEASUREMENTS TOOLKIT MODULATION TOOLKIT GPS TOOLKIT GPS/GLONASS TOOLKIT GSM TOOLKIT GSM/EDGE TOOLKIT WCDMA/HSPA+ TOOLKIT LTE TOOLKIT BLUETOOTH TOOLKIT ZIGBEE TOOLKIT WLAN TOOLKIT FIXED WIMAX TOOLKIT MOBILE WIMAX TOOLKIT FM/RDS TOOLKIT RFMX SPECAN DEMOD RFIC GPS GSM EDGE LTE BLUETOOTH ZIGBEE WLAN WIMAX,RF Software
" NI-RIO NI RIO RIO NI-COMPACTRIO NI COMPACTRIO COMPACTRIO R Series Multifunction RIO Industrial Communications for EtherCAT Electrical Power Suite CRIO 9002 CRIO 9004 CRIO 9012 CRIO 9014 CRIO 9022 CRIO 9023 CRIO 9024 CRIO 9025 CRIO 9052 CRIO 9101 CRIO 9102 CRIO 9103 CRIO 9104 CRIO 9111 CRIO 9112 CRIO 9113 CRIO 9114 CRIO 9116 CRIO 9146 CRIO 9147 CRIO 9148 CRIO 9149 CRIO 9030 CRIO 9031 CRIO 9032 CRIO 9033 CRIO 9034 CRIO 9035 CRIO 9036 CRIO 9037 CRIO 9038 CRIO 9039 CRIO 9063 CRIO 9064 CRIO 9065 CRIO 9066 CRIO 9067 CRIO 9068 CRIO 9072 CRIO 9073 CRIO 9074 CRIO 9075 CRIO 9076 CRIO 9081 CRIO 9082 CRIO 9083 CRIO 9035 CRIO 9039 REM 11100 REM 11102 REM 11115 REM 11120 REM 11152 REM 11154 REM 11175 REM 11178 REM 11180 REM 11190 CRIO 9151 CRIO 9154 CRIO 9155 CRIO 9157 CRIO 9159 PXI 7811R PCI 7811R PXI 7813R PCI 7813R PXI 7820R PCI 7820R PXI 7821R PCI 7821R PXI 7822R PCI 7822R PXI 7830R PCI 7830R PXI 7831R PCI 7831R PXI 7833R PCI 7833R PXI 7841R PCI 7841R PXI 7842R PCI 7842R PXI 7845R PCI 7845R PXI 7846R PCI 7846R PXI 7851R PCI 7851R PXI 7852R PCI 7852R PXI 7853R PCI 7853R PXI 7854R PCI 7854R PXI 7855R PCI 7855R PXI 7856R PCI 7856R PXI 7858R PCI 7858R PXIE 7867 PXIE 7868 SBRIO SB RIO CRIO SBRIO 9601 SBRIO 9602 SBRIO 9605 SBRIO 9606 SBRIO 9607 SBRIO 9611 SBRIO 9612 SBRIO 9623 SBRIO 9626 SBRIO 9627 SBRIO 9631 SBRIO 9632 SBRIO 9633 SBRIO 9636 SBRIO 9637 SBRIO 9641 SBRIO 9642 SBRIO 9262 SBRIO 9651 MYRIO MY RIO MYRIO 1900 MYRIO 1950 ROBORIO ADAPTER FOR MYRIO ELVIS III ELVIS 3 RIO (CRIO, R SERIES, FLEXRIO, SBRIO)",RIO
 PXI-4220 PXIE-4300 PXIE-4302 PXIE-4303 PXIE-4304 PXIE-4305 PXIE-4309 PXIE-4310 PXIE-4322 PXIE-4330 PXIE-4331 PXIE-4353 PXIE-4357 PXIE-4339 PXIE-4340 TB-4300 TB-4300B TB-4322 TB-4330 RM-24999 TB-4339 TB-4353 TC-4353 TB-4357 TB-4302 TB-4304 RM-4304,SC Express
 SCC-HD SCC-ICP SCC-PT SCC-PWR SCC-A10 SCC-ACC01 SCC-AI SCC-AO10 SCC-CI20 SCC-CO20 SCC-CTR01 SCC-DI01 SCC-DO01 SCC-FT01 SCC-FV01 SCC-LP SCC-RLY01 SCC-RTD01 SCC-SG SCC-SG24 SCC-TC,SCC
" SCXI-1200 SCXI-1307 SCXI-1311 SCXI-1340 SCXI-1341 SCXI-1342 SCXI-1345 SCXI-1347 SCXI-1350 SCXI-1356 SCXI-1361 SCXI-1381 SCXI-1384K SCXI-2000 SCXI-2350 SCXI-2400 SCXI-CTC8 SCXI-FRQ8 SCXI-MS100 SCXI-1100 SCXI-1102 SCXI-1102B SCXI-1102C SCXI-1104 SCXI-1104C SCXI-1112 SCXI-1120 SCXI-1120D SCXI-1121 SCXI-1122 SCXI-1124 SCXI-1125 SCXI-1126 SCXI-1140 SCXI-1141 SCXI-1142 SCXI-1143 SCXI-1300 SCXI-1303 SCXI-1308 SCXI-1310 SCXI-1300 SCXI-1310 SCXI-1305 SCXI-1320 SCXI-1327 SCXI-1328 SCXI-1330 SCXI-1305 SCXI-1320 SCXI-1321 SCXI-1327 SCXI-1322 SCXI-1325 SCXI-1305 SCXI-1313A SCXI-1320 SCXI-1327 SCXI-1328 SCXI-1305 SCXI-1320 SCXI-1330 SCXI-1338 SCXI-1301 SCXI-1304 SCXI-1305 SCXI-1304 SCXI-1305 SCXI-1310 BNC/TC-2095 TBX-1303 TBX-96 BNC/TC-2095 TBX-96 SCXI-1338 TBX-1316 TBX-1328 TBX-1329 SCXI-1328 SCXI-1330 TBX-1328 TBX-1329 TBX-1325 SCXI-1330 SCXI-1338 TBX-1316 TBX-1328 TBX-1329 TBX-1316 TBX-1328 TBX-1329 SCXI-1310 TBX-96 SCXI-1163 SCXI-1180 SCXI-1181 SCXI-1181K SCXI-1503 SCXI-1520 SCXI-1521 SCXI-1521B SCXI-1530 SCXI-1531 SCXI-1540 SCXI-1581 SCXI-1326 SCXI-1302 SCXI-1300 SCXI-1301 SCXI-1310 SCXI-1300 SCXI-1301 SCXI-1381K SCXI-1306 SCXI-1314 
 SCXI-1314T SCXI-1317 BNC-2096 SCXI-1315 TBX-96 TBX-1326 SCXI-1351 SCXI-1330 SCXI-1351 TBX-1303 SCXI-1000 SCXI-1000DC SCXI-1001 SCXI BUS EXTENDER SCXI RACK MOUNT SCXI RESISTOR TBX-24F TBX-RM1 SBS-96F SCXI-1343 SCXI-1346 SCXI-1349 SCXI-1352 SCXI-1353 SCXI-1355 SCXI-1357 SCXI-1358 SCXI-1360 SCXI-1373 SCXI-1374 SCXI-1382 SCXI-1383 SCXI-1600",SCXI
 SEMICONDUCTOR TEST SYSTEM SEMICONDUCTOR TEST STS TSM TESTSTAND SEMICONDUCTOR MODULE,STS
 AT-5102 DAQCard-5102 PCI-5102 PCI-5105 PCI-5112 PCI-5122 PCI-5124 PCI-5142 PCI-5152 PCI-5153 PCI-5154 PCI-5911 PCMCIA-5102 PXI-5102 PXI-5105 PXI-5112 PXI-5114 PXI-5122 PXI-5124 PXI-5142 PXI-5152 PXI-5153 PXI-5154 PXI-5900 PXI-5922 PXIe-5122 PXIe-5160 PXIe-5162 PXIe-5622 PXIe-5185 PXIe-5186 USB-5132 USB-5133,ScopesDigitizers
 NI SERIAL SERIAL NI-SERIAL AT-232 AT-232I AT-485 AT-485I ENET-232/2 ENET-232/4 ENET-485/2 ENET-485/4 ExpressCard-8420/2 ExpressCard-8421/2 PCI-232/2 PCI-232/4 PCI-232/8 PCI-232/16 PCI-232I/2 PCI-232I/4 PCI-485/2 PCI-485/4 PCI-485/8 PCI-485I/2 PCI-485I/4 PCI-8430/2 PCI-8430/4 PCI-8430/8 PCI-8430/16 PCI-8431/2 PCI-8431/4 PCI-8431/8 PCI-8432/2 PCI-8432/4 PCI-8433/2 PCI-8433/4 PCIe-8430/8 PCIe-8430/16 PCIe-8431/8 PCIe-8431/16 PCMCIA-232 PCMCIA-232/2 PCMCIA-232/4 PCMCIA-485 PCMCIA-485/2 PXI-8420/2 PXI-8420/4 PXI-8420/8 PXI-8420/16 PXI-8421/2 PXI-8421/4 PXI-8421/8 PXI-8422/2 PXI-8422/4 PXI-8423/2 PXI-8423/4 PXI-8430/2 PXI-8430/4 PXI-8430/8 PXI-8430/16 PXI-8431/2 PXI-8431/4 PXI-8431/8 PXI-8432/2 PXI-8432/4 PXI-8433/2 PXI-8433/4 PXIe-8430/8 PXIe-8430/16 PXIe-8431/8 PXIe-8431/16 Serial Cables USB-232 USB-232/2 USB-232/4 USB-485 USB-485/2 USB-485/4,Serial
 6B11 6B12 6B13 6B21 6B50 SC-2052 SC-2053 SC-2055 SC-2057 5B30 5B31 5B32 5B34 5B35 5B36 5B37 5B38 5B39 5B40 5B41 5B45 5B46 5B47 5B49 AMUX-64T CA-1000 ER-8/16 MCC USB-501 MCC USB-502 SC-2040 T/H SC-2042 RTD SC-2043 SG SC-2050 SC-2051 SC-2054 SC-2056 SC-2060 SC-2061 SC-2062 SC-2311,SignalCondOther
 PXIe-5451 SIGNAL EXPRESS SIGNALEXPRESS,SignalExpress
 PXI-7951R PXI-7952R PXI-7953R PXI-7954R PXIe-7961R PXIe-7962R PXIe-7965R PXIe-7966R PXIe-7971R PXIe-7972R PXIe-7975R PXIe-7976R PXIe-7911 NI 7931R PXIe-7912 NI 7932R PXIe-7915 NI 7935R NI-5731 NI-5732 NI-5733 NI-5734 NI-5751 NI-5752 NI-5761 NI-5762 PXIe-5763 PXIe-5764 NI-6581 NI-6583 NI-6584 NI-6585 NI-6587 NI 5791 NI 5792 NI 5793 NI 5781 NI 5782 NI 5783 NI 5771 NI 5772 NI 5741 NI 5742 AT-1120 AT-1212 PXIe-6591 PXIe-6592 PXIe-7902 ATCA-3671 PXIe-5164 PXIe-5170R PXIe-5171R PXIe-5172R SMA-2165 SMB-2145 SMB-2146 SMB-2147 SMB-2148 FLEXRIO,Software Defined Instruments
 SOUND AND VIBRATION TOOLKIT SOUND AND VIB TOOLKIT SOUND AND VIB DSA & DSG SOFT FRONT PANELS OCTAVE ANALYSIS TOOLKIT ORDER ANALYSIS TOOLKIT THIRD-OCTAVE ANALYSIS TOOLKIT SOUND VIBRATION,Sound and Vibration SW
 PXI-2586 PXI-2565 PXI-2564 PXI-2566 PXI-2523 PXI-2568 PXI-2570 PXI-2521 PXI-2571 PXI-2520 PXI-2522 PXI-2569 PXIe-2569 PXI-2501 PXI-2503 PXI-2529 PXIe-2529 PXI-2530B PXI-2533 PXI-2534 PXI-2531 PXIe-2531 PXI-2532B PXI-2532 PXIe-2532B PXIe-2532 SWB-2810 SWITCHBLOCK NI 2812 NI 2813 NI 2817 NI 2814 NI 2833 NI-2834 PXI-2535 PXI-2536 PXIe-2541 PXI-2540 PXIe-2540 PXI-2593 PXIe-2593 PXIe-2738 PXIe-2739 PXI-2585 PXI-2503 PXI-2501 PXIe-2584 PXIe-2526 PXIe-2524 PXIe-2525 PXI-2527 PXIe-2527 PXI-2576 PXIe-2737 PXI-2530B PXI-2575 PXIe-2575 PXI-2590 PXI-2594 PXI-2595 PXI-2593 PXIe-2593 PXi-2596 PXI-2597 PXI-2796 PXI-2797 PXI-2798 PXI-2799 PXI-2720 PXI-2722 PXIe-2725 PXIe-2727 PXI-2541 PXIe-2541 PXI-2540 PXIe-2540 PXI-2593 PXIe-2593 PXI-2594 PXI-2545 PXI-2546 PXI-2547 PXI-2548 PXIe-2549 PXI-2595 PXIe-2543 PXIe-2543 PXIe-2790 PXI-2596 PXIe-2597 PXIe-2598 PXI-2599 PXI-2796 PXI-2797 PXI-2798 PXI-2799 PXI-2554 PXI-2555 PXI-2556 PXI-2557 PXI-2558 PXI-2559 PXI-2510 PXI-2512 PXI-2512 PXIe-2512 PXI-2514 PXIe-2514 PXI-2515 PXIe-2515 PXI-2567 SCXI-1161 SCXI-1160 SCXI-1166 SCXI-1167 SCXI-1169 SCXI-1127 SCXI-1128 SCXI-1163R SCXI-1175 SCXI-1129 SCXI-1130 SCXI-1194 SCXI-1195 NI 2565 NI-2591 PCI-4021 PXI-2501 PXI-2503 PXI/PXIe-2515 PXI-2527 PXI-2529 PXI-2530 PXI-TB-2630 PXI-2590 PXI-2591 PXI-2593 PXI-2594 PXI-2595 PXI-2596 PXI-2597 PXI-2598 PXI-2599 PXI-4021 SCXI-1000 SCXI-1001 SCXI-1127 SCXI-1128 SCXI-1129 SCXI-1130 SCXI-1160 SCXI-1161 SCXI-1163R SCXI-1166 SCXI-1167 SCXI-1169 SCXI-1175 SCXI-1190 SCXI-1191 SCXI-1192 SCXI-1193 SCXI-1194 SCXI-1195 SCXI-1324 SCXI-1331 SCXI-1332 SCXI-1333 SCXI-1334 SCXI-1335 SCXI-1336 SCXI-1337 SCXI-1339 SCXI-1362 USB-1357 USB-1358 USB-1359 SPST SPDT Single pole single throw Single pole double throw Fault insertion topology FIU 1-wire switching mode 2-wire 4-wire Non-latching armature Relay niSwitch latching FET switch reed SwitchBlock matrix Density switching Solid state 512-crosspoint Hot switching Dry switching Carry current Switching current CAT I CAT II CAT III CAT IV NI-SWITCH SWITCH NI-SWITCH Soft Front Panel MUX Expansion Multiplexer,Switches
 SYSTEMLINK,SystemLink
 TestStand Deployment Utility,TestStand
 USRP-2900 USRP-2901 USRP-2920 USRP-2921 USRP-2922 USRP-2930 USRP-2932 USRP-2940R USRP-2942R USRP-2943R USRP-2944R USRP-2950R USRP-2952R USRP-2953R USRP-2954R CDA-2990,USRP
 ULTIBOARD,Ultiboard (EWB)
 VB-8012 VB-8034 VIRTUAL BENCH VBENCH,VBench
 AT-MXI AT-MXI-2 GPIB-VXI/C NB-MXI PCI-MXI-2 PCI-MXI-2 Flexframe SB-MXI VME-AT2000 VME-AT2015 VME-AT2100 VME-AT4010 VME-MC6000 VME-MXI-1 VME-MXI-2 VMEPC-650 OPTS VMEPC-650/166 VMEPC-650/233 VME-PCI8012 VME-PCI8015 VME-PCI8022 VME-PCI8026 VME-PCI8040 VME-PXI8012 VME-PXI8015 VME-PXI8022 VME-PXI8026 VME-PXI8040 VME-SB2020 VXI-1000 VXI-1200 FLEXFRAME VXI-1394 VXI-1411 VXI-1500 VXI-1501 VXI-2703 VXI-2727 VXI-5412 VXI-5912 VXI-8340 VXI-8345 VXI-8350 VXI-AO-48XDC VXI-AT4010 VXIcpu-030 VXI-DIO-128 VXI-MC6000 VXI-MIO VXI-MIO-64E-1 VXI-MIO-64XE-10 VXI-MXI-1 VXI-MXI-2 VXIpc-386 VXIpc-486 VXIpc-650/166 VXIpc-650/233 VXIpc-650 VXIpc-740 VXIpc-745 VXIpc-770 VXIpc-771 VXIpc-850 VXIpc-860/200 VXIpc-870/450 VXIpc-871 VXIpc-871B VXIpc-872 VXIpc-872B VXIpc-873 VXIpc-874B VXIpc-875B VXI-PCI8012 VXI-PCI8015 VXI-PCI8022 VXI-PCI8026 VXI-PCI8040 VXI-PCI8340 VXI-PCI8345 VXI-PXI8340 VXI-PXI8345 VXI-SB2020 VXI-SC-1000 VXI-SC-1102 VXI-SC-1150 VXI-TB-1000 VXI-TB-1303 VXI-TB-196 VXI-TB-2800 VXI-TB-2801 VXI-TB-2802 VXI-TB-296 VXI-TB-96 NI VXI VXI Versa Modular Eurocard VME extension NI-VXI VXI VXIbus Interactive Control VIC Resman VXI Interactive Control vxiinreg VXI Resource Manager Shared memory Bus master IACK* MXIbus vxiplug mainframe commander,VXI_MXI
 VERISTAND SIMULATION INTERFACE TOOLKIT MODEL INTERFACE TOOLKIT cPCI-5565PIORC Model in the loop MIL Software in the loop SIL Hardware in the loop HIL closed-loop UUT Test cell .nivsproj .nivssdf .nivsscreen .nivsstimprof .nivsseq System definition file Stimulus profile file Primary control loop PCL Model execution loop Custom device loop Data processing loop System explorer Model interface loop VeriStand Gateway VeriStand RT Engine Add Simulation Model Inports Outports Alarm monitor Model parameter manager Channel scaling Channel fault manager Macro recorder Macro player Stimulus profile editor Primitives Hardware-in-the-loop closed loop NI Engine Simulation Toolkit INERTIA Add-On for Closed-Loop Test Cell Applications VeriStand Operator System Software-in-the-loop RCP,VeriStand
 FLEXNET VLA VLM ACADEMIC SITE BATCH INSTALLER VOLUME LICENSE MANAGER LICENSE INSTALLER LICENSE FILE,VolumeLicenseMgr
 LV WSN WSN NI WSN NI-WSN WSN MODULE WIRELESS SENSOR NETWORK WSN-3202 WSN-3212 WSN-3214 WSN-3226 WSN-9791 WSN-9792,WSN
