Actual SR Type,Predicted,Data
CAN,CAN,"I AM LOOKING FOR THE COMPLETE TRANSCRIPT OF REFERENCE #7377897.  THIS WAS CREATED BY A COLLEAGUE, GUY KENNERLY, WHO IS NO LONGER WITH OUR COMPANY.  WE ARE BEING ASKED BY OUR CUSTOMER TO TEST THE CURRENT XNET DRIVER AGAINST THE ISSUE WE DISCOVERED IN THIS TICKET AND I WANT TO MAKE SURE I HAVE ALL OF THE INFORMATION. ,DAVID WILT NI-XNET  NI-CAN"
CAN,CAN,TRYING TO CONFIGURE THE XNET CARD FOR CAN AND UTILIZE THE EXTERNAL TRANSCEIVER. IS THERE AN EXAMPLE VI THAT SHOWS THE ORDER OF OPERATIONS? INITIALLY ATTEMPTED CONFIGURING VIA PROPERTY NODES INTF.CAN.TCVRTYPE AND INTF.CAN.EXTTCVRCFG. ALSO TRIED JUST PROGRAMMATICALLY CONFIGURING INTF.CAN.EXTTCVRCFG AND SETTING THE TRANSCEIVER TYPE TO EXTERNAL WITHIN MAX. TRYING TO USE A TJA1050T TRANSCEIVER. LABVIEW 2014  NI PXI-8513/2 
CAN,CAN,I HAVE A DBC FILE THAT HAS SEVERAL SIGNALS. THE SIGNALS HAS DIFFERENT VALUES THAT WHAT IS SHOWN IN VECTOR PRODUCTS SUCH AS CANAPE AND CANALYZER. I AM USING CAN SIGNAL INPUT WAVEFORM TO READ AND DISPLAY THE SIGNALS IN LABVIEW. CAN YOU PLEASE ADVISE ON THE DIFFERENCE OF SIGNAL READING?  I AM CONNECTING BOTH LABVIEW AND CANAPE ON THE SAME CAN BUS AND USE THE SAME DBC FILE. THE SIGNAL SHOWS 0 ON CANAPE AND IT SHOWS 1025 IN LABVIW. I KNOW THAT CANAPE IS RIGHT SINCE THIS IS A VOLTAGE MEASUREMENT SIGNAL AND ZERO VOLTAGE IS PHYSICALLY THERE ON THE SENSOR.  NI XNET  PXI-8512CAN/HS2
CAN,MStudioDotNet,"I'M TRYING TO BUILD A SEED/KEY DLL THAT CAN BE USED WITH THE NI ECU MEASUREMENT AND CALIBRATION TOOLKIT. THE FOLLOWING PDF LISTS A C FILE/HEADER FILE (HTTP://WWW.NI.COM/PDF/MANUALS/371601K.PDF)(PAGE 4-20), BUT I WAS WONDERING IF THERE EXISTS A VISUAL STUDIO PROJECTS, OR AT LEAST SOME COMPILATION INSTRUCTIONS (INCLUDING COMPILER OPTIONS/ARGUMENTS)? LABVIEW BASE DEVELOPMENT SYSTEM (NI ECU MEASUREMENT AND CALIBRATION TOOLKIT) "
CAN,CAN,WEB PAGE HTTP://WWW.NI.COM/PRODUCT-DOCUMENTATION/14427/EN/ HAS A LINK TO DOCUMENT  NI-XNET HARDWARE AND SOFTWARE MANUAL.  LINK TO HTTP://DIGITAL.NI.COM/MANUALS.NSF/WEBSEARCH/6394B500F99CF28886257A45004BA241 GAVE ME AN ERROR SAYING I AM NOT AUTHORIZED TO VIEW THE DOCUMENT. MORE GENERICALLY I AM SIMPLY TRYING TO LOG CAN 2.0B 1 MBPS 29 BIT EXTENDED ADDRESSING CAN FRAMES TO A TDMS LOG FILE FOR POSSIBLE LATER ANALYSIS.  IT IS NOT AS SIMPLE AS TASK AS I HAD HOPED. LABVIEW VERSION 2015 SP1 
CAN,Industrial Communications,"I HAVE MULTIPLE TEST STATIONS EACH WITH A PCI-DNET CARD INSTALLED AND RUNNING THE SAME LABVIEW APPLICATION.  PCI-DNET IS NO LONGER AVAILABLE FOR OUR NEW TEST STATION SO I BOUGHT A PCI-8532 CARD INSTEAD.  AFTER MIGRATING THE LABVIEW APPLICATION TO NI-INDCOM FOR DEVICENET IN ORDER TO SUPPORT THE PCI-8532 CARD, THE APPLICATION IS NO LONGER COMPATIBLE WITH THE PREVIOUS STATIONS THAT HAVE PCI-DNET CARDS. IS NI-INDCOM BACKWARDS COMPATIBLE WITH PCI-DNET CARDS?  IF NOT, WHY?  WHAT SOLUTION DO YOU RECOMMEND?  THE LABVIEW APPLICATION NEEDS TO RUN ON THE EXISTING TEST STATIONS (WITH PCI-DNET CARDS) AND FUTURE TEST STATIONS (WITH PCI-8532 CARDS). NI-DNET, NI-INDCOM FOR DEVICENET  PCI-DNET, PCI-8532 "
CAN,CAN,"I'M RUNNING INTO AN ISSUE IN MY APPLICATION WHERE STOPPING AND RESTARTING ONE CAN FRAME OUT QUEUED SESSION CAUSES OTHER CAN FRAME OUT QUEUED SESSIONS TO SEND THEIR CAN FRAMES AT AN INCORRECT RATE.  WHILE RESEARCHING THIS ISSUE, I FOUND THAT THE ""BUG FIXES"" SECTION OF THE RELEASE NOTES FOR NI-XNET 15.5 LISTS CAR 577697 WHICH MAY DESCRIBE A SIMILAR ISSUE.  CAN YOU PROVIDE ANY ADDITIONAL INFORMATION REGARDING THIS CAR, SPECIFICALLY WHAT ISSUE OCCURS WITH THE TIMING, WHAT CONDITIONS TRIGGER THE ISSUE, AND ANY KNOWN WORK-AROUNDS FOR THE ISSUE. I'M WORKING ON CREATING A CONCISE EXAMPLE SHOWING THE ISSUE I'M RUNNING INTO.  IN SHORT, HOWEVER, AFTER STOPPING AND RESTARTING ONE CAN FRAME OUT QUEUED SESSION, I'M FINDING THAT SOME OF MY OTHER CAN FRAME OUT QUEUED SESSIONS BEGIN TRANSMITTING THEIR FRAMES REPEATEDLY EACH PERIOD.  FOR EXAMPLE, A SESSION INTENDED TO TRANSMIT ONE FRAME EVERY 1000 MS MAY INSTEAD TRANSMIT FOUR TO FIVES FRAMES BACK-TO-BACK EVERY 1000 MS. LABVIEW PROFESSIONAL DEVELOPMENT SYSTEM VERSION 2014 SP1 PXI-8512 "
CAN,CAN,I NEED TO SETUP A NI-XNET CAN DBC FILE. THE CUSTOMER DOESN'T HAVE THE DBC FILE BUT PROVIDED A TEXT FILE THAT LOOKS LIKE IT DEFINES ALL OF THE CHANNELS AND DATA. I OPENED THE NI-XNET DATABASE EDITOR BUT IT IS NOT INTUITIVE ENOUGH FOR ME. I'D LIKE TO GET HELP IN REGARDS TO HOW I DEFINE MY OWN DBC FILE FOR USE IN MY APPLICATION. LABVIEW PROFESSIONAL DEVELOPMENT SYSTEM  NI-XNET 
CAN,CAN,"I AM USING THE ECU MEASUREMENT AND CALIBRATION TOOLKIT 2.3.1 WITH LABVIEW 2015 AND XNET 15.0.  I HAVE A PROBLEM WHICH HAPPENS OCCASIONALLY WHERE THE TOOLKIT REPORTS ERROR -301082 WHEN THE DTO MESSAGE DOES NOT HAVE AN INVALID COMMAND COUNTER. I BELIEVE WHAT IS HAPPENING IS THAT THE XNET SESSION IS BEING LEFT OPEN THROUGH MULTIPLE DESPITE DESELCTING THE ECU AND AN EXTRA DTO MESSAGE MAY BE GETTING STUCK IN AN RX QUEUE CAUSING THIS ERROR.  I BELIEVE THE SEESION IS STAYING OPEN BECUASE IT IS LEAVING THE SESSION OPEN BECAUSE THE LIGHTS ON MY NI9862 STAY ON AND IF I DO A TRY TO DO A SELF TEST OF THE CARD IN NI MAX IT STATES THAT THERE IS STILL AN OPEN SESSION.  IF I RESET THE CONNECTION TO THE CDAQ CHASSIS MY NEXT SUBSEQUENT CALL TO THE ECUMC WILL GIVE AN ERROR CONCERNING AN UNDEFINED ERROR. IS THIS A KNOWN ISSUE, OR EXPECTED BEHAVIOR?  HAS IT BEEN FIXED IN THE LATEST VERSION OF THE TOOLKIT?  HOW DOES THE ECU MC MANAGE ITS XNET SESSION?STEPS TO REPRODUCE:I HAVE NOT BEEN ABLE TO REPEATABLY REPRODUCE THIS ERROR. ECU MEASUREMENT AND CALIBRATION TOOLKIT 2.3.1  "
CAN,CAN,"I HAVE BEEN GETTING A ""INTERNAL ERROR"" MESSAGE WHEN TRYING TO USE A NI 9862 CAN CARD IN A CDAQ CHASSIS. WHEN ATTEMPTING TO COMMUNICATE THROUGH THE CAN CARD IN THE DAQ CHASSIS WHILE ANALOG AND DIGITAL TASKS ARE ALSO RUNNING ON OTHER CARDS IN THE CHASSIS, THE CAN DRIVER RETURNS AN ERROR SAYING THAT AN INTERNAL ERROR OCCURRED IN THE NI-XNET DRIVER. SEE THE ATTACHED SCREENSHOT FOR THE FULL MESSAGE AND THE ERROR CODE. IF THE ANALOG AND DIGITAL TASKS ARE NOT RUNNING, CAN COMMUNICATION WORKS WITH NO ERRORS. I HAVE TRIED REINSTALLING THE XNET DRIVER ON THE COMPUTER AS WELL AS UPDATING THE CDAQ FIRMWARE TO THE LATEST VERSION. NEITHER SOLVED THE PROBLEM. THERE IS A KB ARTICLE THAT MENTIONS THE ERROR CODE WE ARE SEEING, BUT IT TALKS ABOUT REPLAYING MESSAGES AND DOESN'T SEEM RELATED TO THIS PROBLEM. THE ERROR LOGS REFERRED TO IN THE ERROR MESSAGE ARE ALSO ATTACHED. WE ARE USING A NI 9862 CAN CARD IN A CDAQ-9188 CHASSIS.  NI 9862 "
CAN,CAN,I HAVE INSTALLED THE LATEST 32-BIT DRIVERS FROM AIT VERSION 2.47.  WHEN I INSTALL THE MODULE NI MAX DOES NOT SEE THE MODULE. 2 CHANNEL 1553 PXI INTERFACE MODULE  781901-02 
CAN,CAN,"I WANT TO BE ABLE TO COMMUNICATE WITH A DEVICE THAT USES I2C BUS INTERFACE USING LABVIEW. I HAVE A WINDOWS 7, 64 BIT PC. WHAT ARE MY OPTIONS TO DO THIS? LABVIEW 2015  "
CAN,CAN,"I NEED TO SEND 3 COMMANDS TO CONTROL A ON-BOARD POWERTRAIN CONTROLLER USED FOR FUEL PUMP SPEED. THERE A TOTAL OF 3 SIGNALS THAT ARE REQUIRED TO SEND. THE SIGNALS ARE FOUND UNDER THE FTZM_COMMAND_S1 FRAME AND ARE 1)SPDCMD,2)ARC,3)CHECKSUM. THE CHECKSUM VALUES AND ALIVE ROLLING COUNT ARE ASSUMED TO BE AUTOMATICALLY CALCULATED AND THE ONLY VALUE REQUIRED TO BE CONTROLLED IS THE SPDCMD VALUE. LABVIEW 2015  NI 9862"
CAN,CAN,"THE XNET MONITOR PROVIDES BUS LOAD INFORMATION FOR CAN AND CANFD, HOWEVER, THERE ARE NO PROPERTIES IN THE XNET NODE TO GET THAT INFORMATION WHICH IS BEING DISPLAYED ON XNET MONITOR. WE UNDERSTAND THAT XNET MONITOR IS A DIFFERENT APPLICATION. OUR PROJECT HAS A REQUIREMENT THAT THE VI BUS LOAD WE CALCULATE SHOULD ALSO MATCH THE NI XNET MONITOR VALUES. WOULD YOU BE ABLE TO PROVIDE THE CALCULATIONS OR VI WHICH WE COULD USE IN OUR PROJECT FOR CALCULATING BUS LOAD FOR CAN AND CANFD? ! XNET  PXI-8513CAN/XS1"
CAN,CAN,"HI, I AM NEW TO LIN PROTOCOL AND I AM WORKING ON AN APPLICATION WHICH USES A LIGHT ENGINE. THE LIGHT ENGINE HAS A LIN SLAVE DEVICE AND RGB LEDS. I WANTED TO DEVELOP A DRIVER IN LABVIEW TO CONTROL THE LIGHT ENGINE AND TURN ON/OFF THE LEDS. THE HARDWARE INTERFACE I HAVE IS THE NI PXI-8516 LIN MODULE WHICH I INTEND TO USE AS A LIN MASTER. I HAVE TRIED A FEW LABVIEW  EXAMPLES TO TEST THE HARDWARE INTERFACE (SUCH AS LOOP-BACK TEST BETWEEN TWO LIN PORTS).  I HAVE A LIN FRAME EXAMPLE (PROVIDED BY THE LIGHT ENGINE MANUFACTURERS) WHICH HAS THE DATA PAYLOAD REQUIRED TO TURN ON THE LIGHT ENGINE. I TRIED TO USE THE NI EXAMPLE - LIN FRAME OUTPUT SINGLE POINT.VI TO SEND THAT DATA PAYLOAD TO LIN SLAVE (LIGHT ENGINE) BUT NOT BEEN ABLE TO TURN ON THE LIGHT ENGINE.  I WOULD LIKE TO UNDERSTAND HOW TO USE THE NI 8516 AND LABVIEW AS LIN MASTER AND THE CORRECT WAY TO SEND DATA PAYLOAD TO THE LIN SLAVE DEVICE. I APPRECIATE YOUR ASSISTANCE. ,CHETAN MALPURELABVIEW SOFTWARE ENGINEERG2 TECHNOLOGIES INC NI LIN (NI- XNET)  PXI-8516LIN/2"
CAN,CAN,"I'D LIKE TO HAVE THE ABILITY TO SPECIFY AN PXI XNET PORT BY IT'S PHYSICAL LOCATION (E.G. PORT NUMBER 1 ON THE CARD IN SLOT 2) RATHER THAN NAME (E.G. CAN1).  IT APPEARS THAT THE XNET DEVICE AND INTERFACE PROPERTY NODES PROVIDE PROPERTIES WHICH I CAN USE TO FIND THE NAME, SPECIFICALLY THE ""SLOT NUMBER"" PROPERTY OF THE XNET DEVICE AND THE ""PORT NUMBER"" PROPERTY OF THE XNET INTERFACE.  HOWEVER, WHEN I RUN THE ATTACHED VI ON MY REAL-TIME SYSTEM, ALL DEVICES RETURN ""0"" FOR THE SLOT NUMBER. MY RT SYSTEM CONSISTS OF A PXI-1042 CHASSIS WITH A PXI-8115 CONTROLLER AND PXI-8512'S IN SLOTS 2 AND 7.  THIS CHASSIS ALSO CONTAINS A PXI-6528 IN SLOT 3, PXI-6254'S IN SLOTS 4 AND 6, AND A PXI-8464 IN SLOT 5.  THE REAL-TIME SYSTEM HAS LABVIEW 14.0.1 AND NI-XNET 14.5.0F1. IN ADDITION TO THE VI, THE ATTACHED ZIP FILE CONTAINS A SCREEN-SHOT SHOWING THE RESULTS OF RUNNING THE VI ON MY RT SYSTEM AS WELL AS A TECHNICAL SUPPORT REPORT GENERATED FOR THE RT SYSTEM. I'D LIKE TO KNOW IF THERE IS A WAY TO READ THE CORRECT VALUE FOR THE SLOT NUMBER PROPERTY USING NI-XNET (PREFERABLY WITHOUT UPGRADING PAST 14.5.0) ON A RT SYSTEM. LABVIEW REAL-TIME VERSION 2014 SP1 PXI-8512/2"
CAN,HighSpeedDigital_IO,"HELLO, ARE THERE ANY APPLICATIONS ENGINEERS STILL ACTIVELY SUPPORTING THE SPI DIGITAL WAVEFORM REFERENCE LIBRARY? I POSTED TO THE SPI DIGITAL WAVEFORM LIBRARY THREAD IN THE NI COMMUNITY REFERENCED IN THE SERIAL PROTOCOL COMMUNICATION REFERENCE DESIGN FOR DIGITAL WAVEFORM DEVICES (HTTP://WWW.NI.COM/EXAMPLE/31200/EN/) PAGE BUT AM NOT SURE THE THREAD IS STILL ACTIVE. I'VE BEEN USING THE HSDIO SPI - CORE FEATURES EXAMPLE AND I WAS JUST WONDERING IF IT WAS POSSIBLE TO INCORPORATE A MOSI HOLD TIMING PARAMETER TO GO ALONG WITH THE OTHER TIMING PARAMETERS SHOWN IN THE ATTACHMENT (HSDIO_SPI_TIMING.PNG). I'M FINDING IT SOMEWHAT DIFFICULT TO FULLY COMPREHEND HOW THE EXAMPLE IS APPLYING THE TIMING PARAMETERS, SO IT WOULD BE GREAT IF SOMEBODY COULD LEND A HAND IN DETERMINING IF IT IS AT ALL POSSIBLE TO ADD THIS ONE FEATURE AND HELP GET ME ON THE RIGHT TRACK.  BASICALLY, WE ARE TRYING TO DETERMINE IF THE PXIE-6556 THAT I HAVE IS CAPABLE ENOUGH TO CHARACTERIZE THE SPI IP IN OUR SILICON ON THE BENCH, AS OPPOSED TO THE ATE, AND MEET OUR DATASHEET SPECIFICATIONS (K65_SPI_SLAVE_TIMING.PNG). I KNOW IT IS NOT TRIVIAL TO CONFIGURE THE HSDIO CARD (PXIE-6556) TO ACT AS THE SPI SLAVE SO I AM STARTING WITH THIS SETUP FIRST (HSDIO IS MASTER - MICROCONTROLLER DUT IS SLAVE). SO FAR I HAVE BEEN ABLE TO SUCCESSFULLY ESTABLISH SPI COMMUNICATION TO OUR MCU (THE DUT) USING THE PXIE-6556 AS MASTER USING THE HSDIO SPI - CORE FEATURES EXAMPLE. I CAN TWEAK THE TIMING PARAMETERS TO TEST OUR SILICON'S SLAVE MODE OPERATION BUT THE ONLY THING I CANNOT TEST IS MOSI HOLD TIME.    FOR YOUR TIME,SCOTT LONGE LABVIEW PROFESSIONAL DEVELOPMENT SYSTEM VERSION 2014 "
CAN,CAN,"I WOULD LIKE A 3D MODEL OF THE USB-8452, BUT THERE ISN'T ONE POSTED ON THE WEBSITE. IS THERE A WAY THAT THIS CAN BE PROVIDED TO ME?  USB-8452"
CAN,LVDSC,ARE UPGRADES AVAILABLE FOR PREVIOUSLY PURCHASED TOOLKITS? LOOKING FOR AN UPDATE TO AN ETHERNET/IP TOOLKIT UPGRADE THAT WE PURCHASED A FEW YEARS BACK. (HTTP://SINE.NI.COM/NIPS/CDS/VIEW/P/LANG/EN/NID/209676) DO WE NEED TO PURCHASE THE UPDATES.... OR SHOULD UPDATES COME WITH OUR LABVIEW DEVELOPMENT LICENSE? ! RYAN WIERSMARWIERSMA@TPPROBES.COM ETHERNET/IP TOOLKIT  
CAN,CAN,"I HAVE LOOKED INTO THE XNET EXAMPLES AND AM CURRENTLY READING THE CAN MESSAGES BEING SENT BY OUR DUT.  I WOULD LIKE TO DEFINE THE BIT MAPPING USING THE XNET DATABASE EDITOR.  OUR APPLICATION USES THE SAME ARBITRATION ID FOR ALL MESSAGES, BUT THE CONTAINED DATA WITHIN THE MESSAGE IS DISTINGUISHABLE BASED ON A SPECIFIC SYNC VALUE WITHIN THE MESSAGE ITSELF.  IF IT'S ONE VALUE OF SYNC PULSE, IT CONTAINS THIS SET OF DATA, IF A DIFFERENT VALUE OF SYNC PULSE, IT CONTAINS SOME OTHER SET OF DATA.   I WOULD LIKE TO USE THE DATABASE TO MAINTAIN THESE MESSAGE CONTENTS, BUT SINCE I ONLY HAVE ONE ARBITRATION ID TO SELECT, WHEN I'M DEFINING THE SIGNALS, AFTER SETTING UP THE MAPPING FOR THE FIRST 64 BITS OF DATA, I CAN NO LONGER INCLUDE NEW SIGNALS FOR SOME OTHER SYNC VALUE THAT IS PART OF THE DATA MESSAGE ITSELF. HOPING TO GET CLARIFICATION ON HOW TO BEST HANDLE THIS. NI XNET  NI PXI-8513 "
CAN,CAN,"I AM LOOKING AT BUYING THE CAN OBD II CABLE, BUT I KNOW MY NI 9862 COMPACTDAQ MODULE NEEDS 120 OHM TERMINATION. DOES THIS CABLE HAVE THAT TERMINATION INTERNALLY?  193942-02 "
CAN,CAN,"DEAR SIR/MADAM, I'VE DEVELOPED A GUI FOR MONITORING THE LIN BUS BY NI USB-8476 AND I'VE ALREADY BUILD AN INSTALLATION FOR THE GUI. NOW, USER WANTS TO USE NI-9688 INSTEAD OF NI USB-8476 AND HE INSTALLED THE NI-XNET COMPATIBILITY WITH NI-CAN BUT STILL THE GUI IS NOT WORKING WITH THE NEW INTERFACE. I HAVE LIN0 FOR NI USB-8476 IN NI-MAX UNDER NI-CAN AND LIN1 NOT NEXT TO LIN0 UNDER NI-CAN.ONCE WE SWITCHED THE ECU TO NI-9688 AND SELECT LIN1 THEN IT'S NOT WORKING. WHAT SHOULD WE DO? BEST REGARDSHAMID NAGHIZADEH  NI-9688 "
CAN,Motion,"PREVIOUS REFERENCE NUMBER: 2346971 RECENTLY PURCHASED LABVIEW ETHERNET/IP DRIVER TO COLLECT DATA AND CONTROL AN ABB BRAND, ACS355 VARIABLE FREQUENCY DRIVE EQUIPPED WITH AN ETHERNET /IP ADAPTER. SO FAR I HAVE BEEN ABLE TO MODIFY AN EXAMPLE VI FROM THE COMMUNITY FORUM TO WORK, SORT OF, WITH MY SPECIFIC HARDWARE. I AM ABLE TO READ DATA FROM THE DRIVE BUT UNABLE TO WRITE DATA (CONTROL) TO THE DRIVE. THE FACT THAT I CAN READ DATA FROM THE DRIVE TELLS ME I'M ON THE RIGHT PATH, BUT I SEEM TO BE GOING IN CIRCLES WITH THE CONTROL ASPECT. I ALSO TRIED USING THE GET/SET ASSEMBLY EXAMPLES FOUND WITHIN LABVIEW BUT DON'T HAVE A GOOD UNDERSTANDING OF HOW THEY WORK. I ATTACHED A COPY FOR THE PROTOCOL MANUAL FOR MY HARDWARE TO GIVE AN IDEA OF WHAT I'M WORKING WITH. LABVIEW ETHERNET/IP DRIVER  "
CAN,CAN,"I HAVE AN APPLICATION THAT I AM USING TO POLL THE ECU TO GET SOME SENSOR VALUES ON A VEHICLE.  IT HAS WORKED IN THE PAST, BUT FOR SOME REASON IT WILL NOT WORK TODAY DESPITE NOT MAKING ANY APPARENT CHANGES TO THE CODE.  I HAVE ATTACHED AN IMAGE OF MY BLOCK DIAGRAM FOR YOUR REFERENCE.   WHAT I AM SEEING IS THAT THE FPGA LOADS WITHOUT ISSUE.  WHEN I PROBE THE ERROR WIRE BETWEEN THE OPEN OBD AND REQUEST VIN BLOCKS,  IT NEVER EXECUTES. I HAVE TRIED/VERIFIED THE FOLLOWING.1.  RESTART CRIO2. RESTART LAPTOP3. BLINK TEST ON 9862 (SUCCESS)4. VERIFIED THAT 14V WAS APPLIED TO POWER ON 9862 (GOOD)5. TRIED TO SPECIFY AN INCORRECT CAN PORT THAT DOES NOT EXIST (SAW THE SAME BEHAVIOR). THERE ARE A COUPLE OF THINGS THAT I THOUGHT OF AFTER I LEFT THE VEHICLE TODAY THAT I HAVE NOT TRIED.1.  I DID NOT PROBE TO ENSURE THAT THE XNET - NI-CAN BLOCK EXECUTED PROPERLY.2.  I DID CHANGE THE ""SHOW ABORT BUTTON"" PROPERTY FOR THE VI BECAUSE I HAD A PARALLEL LOOP THAT WAS NOT STOPPING PROPERLY WITHIN THE SAME VI.  WOULD THIS MAKE A DIFFERENCE?  THE EXAMPLE THAT I MODIFIED HAS THIS SET SO THAT THERE WAS NO ABORT BUTTON.  I AM LEAVING ON A TRIP FOR WORK THIS EVENING AND WILL NOT BE BACK FOR A COUPLE WEEKS.  SO I'M JUST LOOKING FOR SOME POINTERS RIGHT NOW.  ITS NOT URGENT.  IF YOU CLOSE THE TICKET ONCE YOU REPLY, THAT IS FINE WITH ME.  I APPRECIATE THE HELP. AUTOMOTIVE DIAGNOSTIC COMMAND SET  CRIO 9038 WITH NI 9862 "
CAN,CAN,"HELLO I'M TRYING TO CONVERT A NI-CAN CHANNEL API VI INTO XNET. THIS IS MY FIRST ATTEMPT AT XNET. I HAVE INCLUDE SCREEN SHOTS OF THE DIFFERENT PIECES.MY PROBLEM IS THAT WHEN I THINK BYTE 0 BIT #0 SHOULD TURN ON IT DOES NOT, ACCORDING TO THE BUS MONITOR I SENT AN 81 00 00 00 WHEN I THINK IS SHOULD BE 80 00 00 01. HOW DO I ""BUNDLE"" THE DIFFERENT  SIGNALS TOGETHER ? CELL 248 804 3285 XNET PROGRAMMING ISSUE  NI PCI-8512 "
CAN,LVDSC,WE ARE EXPERIENCING A TIMEOUT ERROR FOR BOOLEANS USING THE TAG BASED VIS FOR ETHERNET/IP. WE HAVE HAD NO SUCH ISSUE READING STRINGS OR SINGLES. WE ARE USING THE EXAMPLE TAG READ/WRITE VI PROVIDED. I HAVE ATTACHED A SCREENSHOT WHICH WILL EXPLAIN IN MORE DETAIL WHAT IS OCCURRING. OUR TESTS USING REGISTER BASED PLCS ARE NOT HAVING THIS ISSUE LABVIEW PROFESSIONAL DEVELOPMENT SYSTEM VERSION 2013 SP1 
CAN,CAN,"HAVE BEEN USING XNET 15.0 USING LIN PROTOCOL AND WAS HAVING ISSUES WITH CREATING RUNTIME PC INSTALLATION.THE LV15 F3 RUNTIME WAS UNABLE TO BROWSE WHEN THE USER SELECTED THE ""BROWSE DATABASE"", NOTHING WOULD HAPPEN...SO COMPLETELY INSTALLED NEW 15 DS1 (15.01F2) DEV. SYSTEM WITH XNET 15.5.NOW THE NI XNET DATABASE EDITOR WILL NOT EVEN RECOGNIZE/OPEN A LIN DATABASE EVEN ON MY NOW DEVELOPMENT SYSTEM...ALSO, IF YOU TRY TO CREATE A LIN DATABASE FILE, IT SAVES A .XML (TRIES TO SET A FLEXRAY)...THIS IS ONLY THE FIRST ISSUE WITH 15.5, NOW MY I/O BROWSE CAN SEE THE DATABASE, BUT ALSO UNABLE TO EXTRACT DATA (CLUSTER INFO)...STEPS TO REPRODUCE:FRESH INSTALL LATEST LV DEV. SYS /WITH ALL UPDATESINSTALL XNET 15.5OPEN LV XNET DATABASE EDITOR...TRY TO OPEN EXISTING LIN DATABASE OR CREATE NEW AND SELECT LIN XNET 15.5 LIN  "
CAN,CAN,"HELLO, I'M WORKING ON A QUOTE FOR A CUSTOMER AND HAVE A COUPLE QUESTIONS ABOUT XNET AND CAN. 1) MY FIRST QUESTION IS SPECIFICALLY ABOUT BAUD RATES FOR THE J1939 CAN PROTOCOL. THE CUSTOMER'S SPECIFICATION INCLUDES A REQUIREMENT ABOUT AUTOMATICALLY DETECTING THE BAUD RATE WHEN A DEVICE IS CONNECTED. IT SEEMS THAT THIS IS SOMETHING UNIQUE TO THE J1939 PROTOCOL, AND THERE IS POTENTIAL TO ADVERSELY AFFECT THE SYSTEM IF ATTEMPTING TO CONNECT WITH THE INCORRECT BAUD RATE. TO MY KNOWLEDGE, LABVIEW DOES NOT OFFER A WAY TO CONNECT TO A CAN BUS AND DETECT THE BAUD RATE AUTOMATICALLY. I THINK WE COULD FAKE IT BY MEASURING THE BAUD RATE WITH A COUNTER CARD OR SCOPE, BUT I DONT THINK THAT WILL GET US WHAT WE NEED. IM HOPING THERE IS A WAY TO DO THIS NATIVELY ON THE CAN DEVICE SO THAT WE DONT MISS ANY CAN FRAMES ON STARTUP. FROM WHAT I CAN TELL WE ARE NOT THE FIRST TO DEAL WITH THIS REQUIREMENT; I THINK VECTOR IS ONE EXAMPLE WHERE THIS TYPE OF BEHAVIOR IS STANDARD.  2) THE SPEC ALSO LISTS THE REQUIREMENT THAT THE ""CAN PORTS SHALL BE CAPABLE OF OPERATING UNDER AT LEAST 90% BUS LOAD."" CAN YOU COMMENT ON WHAT THE HARDWARE WILL SUPPORT? (LOOKING AT THE 9860 AND/OR THE 9862 IN PARTICULAR, PROBABLY IN A 9178 CHASSIS)  IN ADVANCE. GARRETT MARSHSIGNAL.X TECHNOLOGIES LABVIEW PROFESSIONAL DEVELOPMENT SYSTEM VERSION 2015 SP1 NI 9862"
CAN,CAN,"HI,I HAVE SUCCESSFULLY READ XNET SIGNAL DATA FROM A ECU WITH CVI  XNET FUNCTIONS. BUT MY SENT ME A MESSAGE PARAMETERS LIST SEE ATTACHED FILE) AND ASKS MY PROGRAM TO READ DATA CURRENT AND SLOPE FOR EACH SOLENOID FROM ECM ON THEIR ACS VALVE. I HAVE CHECKED THEIR XNET DATABASE AND DID NOT FIND ANY INFORMATION RELATED THE MESSAGE PARAMETER LIST IN THE DATABASE. PLEASE GIVE ME HOW TO READ THE DATA OF CURRENT AND SLOPE FOR EVERY SOLENOID FROM THE ECM.  A LOT. JIANHUA REN LABWINDOWS/CVI FULL DEVELOPMENT SYSTEM VERSION 2010 SP1 NI-XNET "
CAN,CAN,"HELLO, I AM LOOKING FOR NI-CAN LIBRARY. I WAS NOT ABLE TO FIND ONE ON NI WEBSITE.DO I NEED TO BU Y IT AS A KIT?I HAVE PXI-8513 AS A DEMO AND I WANTED TO TEST IT. MY LABVIEW INSTALL DOES NOT HAVE CAN LIBRARY.   NI-CAN"
CAN,CAN,"SETTING AN XNET PERIODIC FRAME TRANSMIT, THE XNET DATABASE CREATE (FRAME).VI HAS STARTED RETURNING ERROR ""NI-XNET:  (HEX 0XBFF63139) WRONG PARENT RELATIONSHIP FOR A CHILD THAT YOU ARE CREATING WITH XNET DATABASE CREATE."" THIS ROUTINE HAS WORKED WITH NO ISSUES UP UNTIL TODAY AND NO CHANGES HAVE BEEN MADE TO IT. I DON'T KNOW WHAT THE ERROR IS INDICATING SO I DON'T KNOW WHERE TO START TO FIX IT. ED LABVIEW PROFESSIONAL DEVELOPMENT SYSTEM VERSION 2014 SP1 "
